#    L    TT             EE             BB             TE          
   127    0.35222E+04    0.10186E+01    0.41506E-02   -0.38151E+02
   128    0.35560E+04    0.10241E+01    0.42195E-02   -0.38602E+02
   129    0.35898E+04    0.10292E+01    0.42891E-02   -0.39039E+02
   130    0.36235E+04    0.10338E+01    0.43594E-02   -0.39460E+02
   131    0.36573E+04    0.10380E+01    0.44304E-02   -0.39868E+02
   132    0.36911E+04    0.10417E+01    0.45021E-02   -0.40259E+02
   133    0.37249E+04    0.10450E+01    0.45745E-02   -0.40636E+02
   134    0.37586E+04    0.10478E+01    0.46477E-02   -0.40994E+02
   135    0.37922E+04    0.10502E+01    0.47215E-02   -0.41336E+02
   136    0.38258E+04    0.10520E+01    0.47962E-02   -0.41660E+02
   137    0.38593E+04    0.10535E+01    0.48715E-02   -0.41965E+02
   138    0.38927E+04    0.10544E+01    0.49477E-02   -0.42253E+02
   139    0.39259E+04    0.10550E+01    0.50245E-02   -0.42521E+02
   140    0.39591E+04    0.10550E+01    0.51022E-02   -0.42770E+02
   141    0.39922E+04    0.10545E+01    0.51806E-02   -0.42999E+02
   142    0.40252E+04    0.10536E+01    0.52598E-02   -0.43208E+02
   143    0.40581E+04    0.10523E+01    0.53398E-02   -0.43397E+02
   144    0.40908E+04    0.10504E+01    0.54206E-02   -0.43566E+02
   145    0.41233E+04    0.10483E+01    0.55022E-02   -0.43713E+02
   146    0.41560E+04    0.10455E+01    0.55845E-02   -0.43839E+02
   147    0.41882E+04    0.10424E+01    0.56677E-02   -0.43943E+02
   148    0.42203E+04    0.10388E+01    0.57517E-02   -0.44025E+02
   149    0.42523E+04    0.10348E+01    0.58366E-02   -0.44085E+02
   150    0.42840E+04    0.10305E+01    0.59222E-02   -0.44119E+02
   151    0.43156E+04    0.10257E+01    0.60087E-02   -0.44133E+02
   152    0.43469E+04    0.10204E+01    0.60961E-02   -0.44122E+02
   153    0.43780E+04    0.10148E+01    0.61843E-02   -0.44087E+02
   154    0.44090E+04    0.10088E+01    0.62733E-02   -0.44028E+02
   155    0.44397E+04    0.10025E+01    0.63632E-02   -0.43945E+02
   156    0.44700E+04    0.99589E+00    0.64539E-02   -0.43838E+02
   157    0.45002E+04    0.98890E+00    0.65455E-02   -0.43706E+02
   158    0.45302E+04    0.98163E+00    0.66380E-02   -0.43548E+02
   159    0.45598E+04    0.97393E+00    0.67313E-02   -0.43366E+02
   160    0.45892E+04    0.96597E+00    0.68255E-02   -0.43158E+02
   161    0.46184E+04    0.95781E+00    0.69206E-02   -0.42925E+02
   162    0.46473E+04    0.94930E+00    0.70165E-02   -0.42668E+02
   163    0.46760E+04    0.94051E+00    0.71133E-02   -0.42384E+02
   164    0.47043E+04    0.93153E+00    0.72110E-02   -0.42075E+02
   165    0.47325E+04    0.92227E+00    0.73096E-02   -0.41739E+02
   166    0.47603E+04    0.91289E+00    0.74090E-02   -0.41378E+02
   167    0.47879E+04    0.90316E+00    0.75093E-02   -0.40992E+02
   168    0.48150E+04    0.89345E+00    0.76105E-02   -0.40579E+02
   169    0.48418E+04    0.88347E+00    0.77125E-02   -0.40139E+02
   170    0.48684E+04    0.87343E+00    0.78155E-02   -0.39673E+02
   171    0.48944E+04    0.86334E+00    0.79192E-02   -0.39180E+02
   172    0.49201E+04    0.85312E+00    0.80239E-02   -0.38660E+02
   173    0.49453E+04    0.84278E+00    0.81294E-02   -0.38114E+02
   174    0.49702E+04    0.83261E+00    0.82357E-02   -0.37542E+02
   175    0.49948E+04    0.82230E+00    0.83429E-02   -0.36943E+02
   176    0.50188E+04    0.81210E+00    0.84510E-02   -0.36317E+02
   177    0.50424E+04    0.80191E+00    0.85598E-02   -0.35665E+02
   178    0.50655E+04    0.79196E+00    0.86696E-02   -0.34986E+02
   179    0.50882E+04    0.78195E+00    0.87801E-02   -0.34281E+02
   180    0.51106E+04    0.77212E+00    0.88915E-02   -0.33549E+02
   181    0.51325E+04    0.76244E+00    0.90037E-02   -0.32793E+02
   182    0.51538E+04    0.75301E+00    0.91167E-02   -0.32009E+02
   183    0.51747E+04    0.74373E+00    0.92305E-02   -0.31200E+02
   184    0.51952E+04    0.73470E+00    0.93451E-02   -0.30364E+02
   185    0.52152E+04    0.72605E+00    0.94605E-02   -0.29505E+02
   186    0.52345E+04    0.71764E+00    0.95767E-02   -0.28619E+02
   187    0.52535E+04    0.70961E+00    0.96936E-02   -0.27707E+02
   188    0.52720E+04    0.70195E+00    0.98113E-02   -0.26771E+02
   189    0.52900E+04    0.69469E+00    0.99298E-02   -0.25810E+02
   190    0.53078E+04    0.68789E+00    0.10049E-01   -0.24825E+02
   191    0.53247E+04    0.68156E+00    0.10169E-01   -0.23815E+02
   192    0.53412E+04    0.67573E+00    0.10290E-01   -0.22780E+02
   193    0.53571E+04    0.67045E+00    0.10411E-01   -0.21723E+02
   194    0.53727E+04    0.66573E+00    0.10533E-01   -0.20642E+02
   195    0.53876E+04    0.66161E+00    0.10656E-01   -0.19538E+02
   196    0.54020E+04    0.65814E+00    0.10780E-01   -0.18411E+02
   197    0.54160E+04    0.65536E+00    0.10904E-01   -0.17262E+02
   198    0.54294E+04    0.65328E+00    0.11029E-01   -0.16091E+02
   199    0.54423E+04    0.65194E+00    0.11154E-01   -0.14898E+02
   200    0.54547E+04    0.65138E+00    0.11281E-01   -0.13684E+02
   201    0.54665E+04    0.65165E+00    0.11408E-01   -0.12448E+02
   202    0.54778E+04    0.65275E+00    0.11535E-01   -0.11193E+02
   203    0.54885E+04    0.65475E+00    0.11663E-01   -0.99161E+01
   204    0.54985E+04    0.65767E+00    0.11792E-01   -0.86215E+01
   205    0.55080E+04    0.66154E+00    0.11921E-01   -0.73068E+01
   206    0.55169E+04    0.66642E+00    0.12051E-01   -0.59732E+01
   207    0.55253E+04    0.67230E+00    0.12182E-01   -0.46210E+01
   208    0.55329E+04    0.67926E+00    0.12313E-01   -0.32509E+01
   209    0.55399E+04    0.68731E+00    0.12445E-01   -0.18632E+01
   210    0.55464E+04    0.69649E+00    0.12577E-01   -0.45866E+00
   211    0.55522E+04    0.70684E+00    0.12710E-01    0.96252E+00
   212    0.55574E+04    0.71840E+00    0.12844E-01    0.23995E+01
   213    0.55620E+04    0.73119E+00    0.12977E-01    0.38522E+01
   214    0.55659E+04    0.74521E+00    0.13112E-01    0.53196E+01
   215    0.55693E+04    0.76066E+00    0.13247E-01    0.68009E+01
   216    0.55720E+04    0.77734E+00    0.13382E-01    0.82966E+01
   217    0.55742E+04    0.79541E+00    0.13518E-01    0.98048E+01
   218    0.55757E+04    0.81488E+00    0.13655E-01    0.11326E+02
   219    0.55766E+04    0.83573E+00    0.13791E-01    0.12860E+02
   220    0.55770E+04    0.85812E+00    0.13929E-01    0.14404E+02
   221    0.55767E+04    0.88197E+00    0.14066E-01    0.15959E+02
   222    0.55759E+04    0.90743E+00    0.14205E-01    0.17524E+02
   223    0.55744E+04    0.93442E+00    0.14343E-01    0.19099E+02
   224    0.55724E+04    0.96295E+00    0.14482E-01    0.20682E+02
   225    0.55697E+04    0.99315E+00    0.14621E-01    0.22275E+02
   226    0.55664E+04    0.10250E+01    0.14761E-01    0.23873E+02
   227    0.55625E+04    0.10586E+01    0.14901E-01    0.25480E+02
   228    0.55581E+04    0.10938E+01    0.15041E-01    0.27093E+02
   229    0.55531E+04    0.11308E+01    0.15182E-01    0.28711E+02
   230    0.55474E+04    0.11695E+01    0.15323E-01    0.30334E+02
   231    0.55411E+04    0.12101E+01    0.15464E-01    0.31963E+02
   232    0.55342E+04    0.12523E+01    0.15605E-01    0.33594E+02
   233    0.55268E+04    0.12966E+01    0.15747E-01    0.35228E+02
   234    0.55186E+04    0.13427E+01    0.15889E-01    0.36864E+02
   235    0.55099E+04    0.13906E+01    0.16031E-01    0.38501E+02
   236    0.55005E+04    0.14405E+01    0.16173E-01    0.40140E+02
   237    0.54906E+04    0.14923E+01    0.16315E-01    0.41778E+02
   238    0.54800E+04    0.15461E+01    0.16458E-01    0.43416E+02
   239    0.54690E+04    0.16018E+01    0.16601E-01    0.45053E+02
   240    0.54572E+04    0.16595E+01    0.16743E-01    0.46687E+02
   241    0.54450E+04    0.17193E+01    0.16886E-01    0.48318E+02
   242    0.54321E+04    0.17810E+01    0.17029E-01    0.49946E+02
   243    0.54187E+04    0.18448E+01    0.17172E-01    0.51570E+02
   244    0.54047E+04    0.19107E+01    0.17315E-01    0.53189E+02
   245    0.53901E+04    0.19786E+01    0.17458E-01    0.54802E+02
   246    0.53750E+04    0.20487E+01    0.17601E-01    0.56410E+02
   247    0.53594E+04    0.21207E+01    0.17744E-01    0.58009E+02
   248    0.53432E+04    0.21952E+01    0.17887E-01    0.59602E+02
   249    0.53265E+04    0.22715E+01    0.18030E-01    0.61186E+02
   250    0.53093E+04    0.23502E+01    0.18173E-01    0.62760E+02
   251    0.52916E+04    0.24308E+01    0.18316E-01    0.64325E+02
   252    0.52732E+04    0.25137E+01    0.18458E-01    0.65880E+02
   253    0.52546E+04    0.25986E+01    0.18601E-01    0.67422E+02
   254    0.52354E+04    0.26858E+01    0.18743E-01    0.68953E+02
   255    0.52156E+04    0.27751E+01    0.18885E-01    0.70472E+02
   256    0.51954E+04    0.28667E+01    0.19027E-01    0.71979E+02
   257    0.51748E+04    0.29602E+01    0.19168E-01    0.73466E+02
   258    0.51536E+04    0.30561E+01    0.19310E-01    0.74946E+02
   259    0.51321E+04    0.31542E+01    0.19451E-01    0.76404E+02
   260    0.51101E+04    0.32544E+01    0.19592E-01    0.77854E+02
   261    0.50876E+04    0.33566E+01    0.19732E-01    0.79274E+02
   262    0.50646E+04    0.34613E+01    0.19873E-01    0.80687E+02
   263    0.50415E+04    0.35679E+01    0.20013E-01    0.82086E+02
   264    0.50178E+04    0.36768E+01    0.20152E-01    0.83462E+02
   265    0.49935E+04    0.37878E+01    0.20291E-01    0.84808E+02
   266    0.49690E+04    0.39010E+01    0.20430E-01    0.86148E+02
   267    0.49440E+04    0.40162E+01    0.20569E-01    0.87458E+02
   268    0.49185E+04    0.41337E+01    0.20707E-01    0.88753E+02
   269    0.48926E+04    0.42533E+01    0.20845E-01    0.90026E+02
   270    0.48665E+04    0.43749E+01    0.20982E-01    0.91278E+02
