#    L    TT             EE             BB             TE             PP             TP             EP          
    84    0.21742E+04    0.50159E+00    0.00000E+00   -0.12794E+02    0.10436E-06    0.47874E-03   -0.53802E-06
    85    0.22016E+04    0.51603E+00    0.00000E+00   -0.13367E+02    0.10368E-06    0.47169E-03   -0.58175E-06
    86    0.22291E+04    0.53055E+00    0.00000E+00   -0.13946E+02    0.10300E-06    0.46487E-03   -0.63808E-06
    87    0.22571E+04    0.54510E+00    0.00000E+00   -0.14530E+02    0.10232E-06    0.45825E-03   -0.70228E-06
    88    0.22851E+04    0.55971E+00    0.00000E+00   -0.15121E+02    0.10165E-06    0.45182E-03   -0.76906E-06
    89    0.23134E+04    0.57435E+00    0.00000E+00   -0.15719E+02    0.10098E-06    0.44558E-03   -0.83315E-06
    90    0.23419E+04    0.58900E+00    0.00000E+00   -0.16321E+02    0.10032E-06    0.43949E-03   -0.88927E-06
    91    0.23706E+04    0.60364E+00    0.00000E+00   -0.16929E+02    0.99656E-07    0.43356E-03   -0.93322E-06
    92    0.23995E+04    0.61826E+00    0.00000E+00   -0.17541E+02    0.98997E-07    0.42778E-03   -0.96491E-06
    93    0.24288E+04    0.63286E+00    0.00000E+00   -0.18158E+02    0.98342E-07    0.42213E-03   -0.98534E-06
    94    0.24580E+04    0.64739E+00    0.00000E+00   -0.18779E+02    0.97690E-07    0.41662E-03   -0.99548E-06
    95    0.24876E+04    0.66186E+00    0.00000E+00   -0.19403E+02    0.97043E-07    0.41124E-03   -0.99631E-06
    96    0.25172E+04    0.67626E+00    0.00000E+00   -0.20031E+02    0.96398E-07    0.40598E-03   -0.98881E-06
    97    0.25471E+04    0.69056E+00    0.00000E+00   -0.20661E+02    0.95758E-07    0.40085E-03   -0.97395E-06
    98    0.25774E+04    0.70477E+00    0.00000E+00   -0.21292E+02    0.95121E-07    0.39583E-03   -0.95272E-06
    99    0.26076E+04    0.71885E+00    0.00000E+00   -0.21926E+02    0.94489E-07    0.39092E-03   -0.92607E-06
   100    0.26382E+04    0.73279E+00    0.00000E+00   -0.22559E+02    0.93860E-07    0.38612E-03   -0.89500E-06
   101    0.26689E+04    0.74666E+00    0.00000E+00   -0.23194E+02    0.93235E-07    0.38142E-03   -0.86047E-06
   102    0.27001E+04    0.76030E+00    0.00000E+00   -0.23829E+02    0.92614E-07    0.37681E-03   -0.82346E-06
   103    0.27312E+04    0.77381E+00    0.00000E+00   -0.24464E+02    0.91997E-07    0.37230E-03   -0.78493E-06
   104    0.27626E+04    0.78717E+00    0.00000E+00   -0.25098E+02    0.91384E-07    0.36788E-03   -0.74586E-06
   105    0.27941E+04    0.80031E+00    0.00000E+00   -0.25730E+02    0.90775E-07    0.36354E-03   -0.70723E-06
   106    0.28258E+04    0.81331E+00    0.00000E+00   -0.26361E+02    0.90171E-07    0.35927E-03   -0.66999E-06
   107    0.28574E+04    0.82601E+00    0.00000E+00   -0.26988E+02    0.89570E-07    0.35508E-03   -0.63513E-06
   108    0.28894E+04    0.83850E+00    0.00000E+00   -0.27614E+02    0.88974E-07    0.35096E-03   -0.60361E-06
   109    0.29216E+04    0.85070E+00    0.00000E+00   -0.28236E+02    0.88382E-07    0.34690E-03   -0.57640E-06
   110    0.29538E+04    0.86262E+00    0.00000E+00   -0.28852E+02    0.87795E-07    0.34290E-03   -0.55447E-06
   111    0.29862E+04    0.87432E+00    0.00000E+00   -0.29465E+02    0.87212E-07    0.33896E-03   -0.53856E-06
   112    0.30187E+04    0.88573E+00    0.00000E+00   -0.30074E+02    0.86633E-07    0.33507E-03   -0.52843E-06
   113    0.30514E+04    0.89685E+00    0.00000E+00   -0.30677E+02    0.86059E-07    0.33123E-03   -0.52362E-06
   114    0.30843E+04    0.90762E+00    0.00000E+00   -0.31273E+02    0.85489E-07    0.32745E-03   -0.52368E-06
   115    0.31173E+04    0.91817E+00    0.00000E+00   -0.31863E+02    0.84924E-07    0.32372E-03   -0.52815E-06
   116    0.31503E+04    0.92828E+00    0.00000E+00   -0.32445E+02    0.84363E-07    0.32005E-03   -0.53656E-06
   117    0.31836E+04    0.93804E+00    0.00000E+00   -0.33019E+02    0.83806E-07    0.31643E-03   -0.54845E-06
   118    0.32171E+04    0.94758E+00    0.00000E+00   -0.33586E+02    0.83254E-07    0.31287E-03   -0.56337E-06
   119    0.32506E+04    0.95677E+00    0.00000E+00   -0.34142E+02    0.82706E-07    0.30936E-03   -0.58085E-06
   120    0.32842E+04    0.96544E+00    0.00000E+00   -0.34690E+02    0.82162E-07    0.30590E-03   -0.60043E-06
   121    0.33177E+04    0.97391E+00    0.00000E+00   -0.35227E+02    0.81623E-07    0.30250E-03   -0.62166E-06
   122    0.33514E+04    0.98187E+00    0.00000E+00   -0.35754E+02    0.81088E-07    0.29915E-03   -0.64408E-06
   123    0.33851E+04    0.98939E+00    0.00000E+00   -0.36270E+02    0.80557E-07    0.29586E-03   -0.66722E-06
   124    0.34189E+04    0.99656E+00    0.00000E+00   -0.36773E+02    0.80031E-07    0.29262E-03   -0.69063E-06
   125    0.34526E+04    0.10033E+01    0.00000E+00   -0.37265E+02    0.79509E-07    0.28943E-03   -0.71385E-06
   126    0.34865E+04    0.10097E+01    0.00000E+00   -0.37745E+02    0.78991E-07    0.28630E-03   -0.73642E-06
   127    0.35203E+04    0.10156E+01    0.00000E+00   -0.38212E+02    0.78478E-07    0.28322E-03   -0.75788E-06
   128    0.35540E+04    0.10211E+01    0.00000E+00   -0.38665E+02    0.77968E-07    0.28020E-03   -0.77778E-06
   129    0.35879E+04    0.10261E+01    0.00000E+00   -0.39104E+02    0.77463E-07    0.27723E-03   -0.79566E-06
   130    0.36217E+04    0.10306E+01    0.00000E+00   -0.39528E+02    0.76963E-07    0.27432E-03   -0.81105E-06
   131    0.36555E+04    0.10347E+01    0.00000E+00   -0.39938E+02    0.76466E-07    0.27146E-03   -0.82362E-06
   132    0.36894E+04    0.10384E+01    0.00000E+00   -0.40332E+02    0.75974E-07    0.26865E-03   -0.83343E-06
   133    0.37231E+04    0.10416E+01    0.00000E+00   -0.40711E+02    0.75486E-07    0.26589E-03   -0.84068E-06
   134    0.37569E+04    0.10444E+01    0.00000E+00   -0.41072E+02    0.75002E-07    0.26318E-03   -0.84555E-06
   135    0.37906E+04    0.10467E+01    0.00000E+00   -0.41417E+02    0.74522E-07    0.26052E-03   -0.84823E-06
   136    0.38242E+04    0.10485E+01    0.00000E+00   -0.41743E+02    0.74047E-07    0.25790E-03   -0.84891E-06
   137    0.38577E+04    0.10498E+01    0.00000E+00   -0.42051E+02    0.73575E-07    0.25533E-03   -0.84777E-06
   138    0.38912E+04    0.10507E+01    0.00000E+00   -0.42341E+02    0.73107E-07    0.25280E-03   -0.84501E-06
   139    0.39245E+04    0.10512E+01    0.00000E+00   -0.42612E+02    0.72644E-07    0.25031E-03   -0.84079E-06
   140    0.39578E+04    0.10511E+01    0.00000E+00   -0.42864E+02    0.72184E-07    0.24787E-03   -0.83533E-06
   141    0.39908E+04    0.10505E+01    0.00000E+00   -0.43096E+02    0.71729E-07    0.24545E-03   -0.82879E-06
   142    0.40239E+04    0.10495E+01    0.00000E+00   -0.43308E+02    0.71277E-07    0.24308E-03   -0.82137E-06
   143    0.40569E+04    0.10481E+01    0.00000E+00   -0.43499E+02    0.70829E-07    0.24074E-03   -0.81325E-06
   144    0.40897E+04    0.10462E+01    0.00000E+00   -0.43671E+02    0.70385E-07    0.23843E-03   -0.80462E-06
   145    0.41223E+04    0.10439E+01    0.00000E+00   -0.43821E+02    0.69945E-07    0.23615E-03   -0.79566E-06
   146    0.41550E+04    0.10410E+01    0.00000E+00   -0.43950E+02    0.69508E-07    0.23390E-03   -0.78657E-06
   147    0.41873E+04    0.10378E+01    0.00000E+00   -0.44056E+02    0.69076E-07    0.23168E-03   -0.77753E-06
   148    0.42195E+04    0.10341E+01    0.00000E+00   -0.44141E+02    0.68647E-07    0.22948E-03   -0.76872E-06
   149    0.42516E+04    0.10300E+01    0.00000E+00   -0.44203E+02    0.68222E-07    0.22731E-03   -0.76032E-06
   150    0.42834E+04    0.10255E+01    0.00000E+00   -0.44241E+02    0.67800E-07    0.22516E-03   -0.75254E-06
   151    0.43150E+04    0.10206E+01    0.00000E+00   -0.44257E+02    0.67382E-07    0.22304E-03   -0.74550E-06
   152    0.43464E+04    0.10152E+01    0.00000E+00   -0.44249E+02    0.66968E-07    0.22093E-03   -0.73920E-06
   153    0.43776E+04    0.10095E+01    0.00000E+00   -0.44216E+02    0.66557E-07    0.21885E-03   -0.73356E-06
   154    0.44086E+04    0.10034E+01    0.00000E+00   -0.44160E+02    0.66150E-07    0.21678E-03   -0.72853E-06
   155    0.44394E+04    0.99691E+00    0.00000E+00   -0.44080E+02    0.65746E-07    0.21474E-03   -0.72404E-06
   156    0.44698E+04    0.99011E+00    0.00000E+00   -0.43976E+02    0.65346E-07    0.21272E-03   -0.72003E-06
   157    0.45001E+04    0.98296E+00    0.00000E+00   -0.43846E+02    0.64949E-07    0.21072E-03   -0.71644E-06
   158    0.45301E+04    0.97553E+00    0.00000E+00   -0.43691E+02    0.64556E-07    0.20874E-03   -0.71320E-06
   159    0.45599E+04    0.96768E+00    0.00000E+00   -0.43512E+02    0.64166E-07    0.20679E-03   -0.71027E-06
   160    0.45894E+04    0.95954E+00    0.00000E+00   -0.43306E+02    0.63780E-07    0.20485E-03   -0.70756E-06
   161    0.46187E+04    0.95121E+00    0.00000E+00   -0.43076E+02    0.63397E-07    0.20294E-03   -0.70502E-06
   162    0.46477E+04    0.94252E+00    0.00000E+00   -0.42820E+02    0.63017E-07    0.20105E-03   -0.70259E-06
   163    0.46765E+04    0.93355E+00    0.00000E+00   -0.42539E+02    0.62641E-07    0.19918E-03   -0.70021E-06
   164    0.47049E+04    0.92438E+00    0.00000E+00   -0.42232E+02    0.62268E-07    0.19733E-03   -0.69781E-06
   165    0.47331E+04    0.91492E+00    0.00000E+00   -0.41899E+02    0.61898E-07    0.19550E-03   -0.69534E-06
   166    0.47611E+04    0.90534E+00    0.00000E+00   -0.41540E+02    0.61531E-07    0.19370E-03   -0.69272E-06
   167    0.47888E+04    0.89540E+00    0.00000E+00   -0.41156E+02    0.61168E-07    0.19191E-03   -0.68990E-06
   168    0.48160E+04    0.88548E+00    0.00000E+00   -0.40745E+02    0.60808E-07    0.19015E-03   -0.68682E-06
