#    L    TT             EE             TE             PP             TP          
   135    0.37906E+04    0.10467E+01   -0.41417E+02    0.34273E+07    0.44122E+04
   136    0.38242E+04    0.10485E+01   -0.41743E+02    0.34058E+07    0.43683E+04
   137    0.38577E+04    0.10498E+01   -0.42051E+02    0.33844E+07    0.43251E+04
   138    0.38912E+04    0.10507E+01   -0.42341E+02    0.33633E+07    0.42826E+04
   139    0.39245E+04    0.10512E+01   -0.42612E+02    0.33423E+07    0.42407E+04
   140    0.39578E+04    0.10511E+01   -0.42864E+02    0.33215E+07    0.41996E+04
   141    0.39908E+04    0.10505E+01   -0.43096E+02    0.33009E+07    0.41590E+04
   142    0.40239E+04    0.10495E+01   -0.43308E+02    0.32804E+07    0.41191E+04
   143    0.40569E+04    0.10481E+01   -0.43499E+02    0.32601E+07    0.40797E+04
   144    0.40897E+04    0.10462E+01   -0.43671E+02    0.32400E+07    0.40409E+04
   145    0.41223E+04    0.10439E+01   -0.43821E+02    0.32200E+07    0.40025E+04
   146    0.41550E+04    0.10410E+01   -0.43950E+02    0.32002E+07    0.39647E+04
   147    0.41873E+04    0.10378E+01   -0.44056E+02    0.31806E+07    0.39273E+04
   148    0.42195E+04    0.10341E+01   -0.44141E+02    0.31611E+07    0.38904E+04
   149    0.42516E+04    0.10300E+01   -0.44203E+02    0.31418E+07    0.38538E+04
   150    0.42834E+04    0.10255E+01   -0.44241E+02    0.31227E+07    0.38177E+04
   151    0.43150E+04    0.10206E+01   -0.44257E+02    0.31037E+07    0.37818E+04
   152    0.43464E+04    0.10152E+01   -0.44249E+02    0.30849E+07    0.37464E+04
   153    0.43776E+04    0.10095E+01   -0.44216E+02    0.30663E+07    0.37113E+04
   154    0.44086E+04    0.10034E+01   -0.44160E+02    0.30477E+07    0.36765E+04
   155    0.44394E+04    0.99691E+00   -0.44080E+02    0.30294E+07    0.36421E+04
   156    0.44698E+04    0.99011E+00   -0.43976E+02    0.30112E+07    0.36080E+04
   157    0.45001E+04    0.98296E+00   -0.43846E+02    0.29932E+07    0.35743E+04
   158    0.45301E+04    0.97553E+00   -0.43691E+02    0.29753E+07    0.35410E+04
   159    0.45599E+04    0.96768E+00   -0.43512E+02    0.29576E+07    0.35080E+04
