#    L    TT             EE             TE
   186    0.52375E+04    0.70485E+00   -0.28808E+02
   187    0.52567E+04    0.69650E+00   -0.27896E+02
   188    0.52754E+04    0.68851E+00   -0.26960E+02
   189    0.52935E+04    0.68092E+00   -0.25999E+02
   190    0.53114E+04    0.67378E+00   -0.25014E+02
   191    0.53284E+04    0.66711E+00   -0.24003E+02
   192    0.53451E+04    0.66093E+00   -0.22968E+02
   193    0.53612E+04    0.65528E+00   -0.21911E+02
   194    0.53769E+04    0.65020E+00   -0.20828E+02
   195    0.53920E+04    0.64573E+00   -0.19723E+02
   196    0.54065E+04    0.64188E+00   -0.18595E+02
   197    0.54205E+04    0.63872E+00   -0.17444E+02
   198    0.54341E+04    0.63627E+00   -0.16272E+02
   199    0.54471E+04    0.63455E+00   -0.15077E+02
   200    0.54597E+04    0.63360E+00   -0.13861E+02
   201    0.54716E+04    0.63347E+00   -0.12624E+02
   202    0.54831E+04    0.63418E+00   -0.11366E+02
   203    0.54939E+04    0.63578E+00   -0.10087E+02
   204    0.55041E+04    0.63829E+00   -0.87899E+01
   205    0.55137E+04    0.64176E+00   -0.74724E+01
   206    0.55228E+04    0.64622E+00   -0.61358E+01
   207    0.55313E+04    0.65170E+00   -0.47806E+01
   208    0.55390E+04    0.65824E+00   -0.34071E+01
   209    0.55462E+04    0.66587E+00   -0.20158E+01
   210    0.55528E+04    0.67463E+00   -0.60759E+00
   211    0.55588E+04    0.68457E+00    0.81752E+00
   212    0.55640E+04    0.69569E+00    0.22586E+01
   213    0.55688E+04    0.70806E+00    0.37157E+01
   214    0.55728E+04    0.72166E+00    0.51876E+01
   215    0.55763E+04    0.73668E+00    0.66736E+01
   216    0.55792E+04    0.75293E+00    0.81743E+01
   217    0.55815E+04    0.77058E+00    0.96876E+01
   218    0.55831E+04    0.78962E+00    0.11214E+02
   219    0.55842E+04    0.81005E+00    0.12754E+02
   220    0.55847E+04    0.83201E+00    0.14303E+02
   221    0.55846E+04    0.85544E+00    0.15864E+02
   222    0.55838E+04    0.88047E+00    0.17435E+02
   223    0.55824E+04    0.90705E+00    0.19017E+02
   224    0.55805E+04    0.93515E+00    0.20607E+02
   225    0.55780E+04    0.96494E+00    0.22206E+02
   226    0.55748E+04    0.99640E+00    0.23812E+02
   227    0.55710E+04    0.10295E+01    0.25426E+02
   228    0.55667E+04    0.10644E+01    0.27046E+02
   229    0.55618E+04    0.11010E+01    0.28672E+02
   230    0.55562E+04    0.11393E+01    0.30303E+02
   231    0.55500E+04    0.11794E+01    0.31939E+02
   232    0.55432E+04    0.12213E+01    0.33579E+02
   233    0.55358E+04    0.12652E+01    0.35221E+02
   234    0.55277E+04    0.13109E+01    0.36866E+02
   235    0.55191E+04    0.13585E+01    0.38512E+02
   236    0.55099E+04    0.14080E+01    0.40160E+02
   237    0.55000E+04    0.14594E+01    0.41808E+02
   238    0.54895E+04    0.15129E+01    0.43455E+02
   239    0.54785E+04    0.15683E+01    0.45102E+02
   240    0.54668E+04    0.16256E+01    0.46745E+02
   241    0.54547E+04    0.16851E+01    0.48387E+02
   242    0.54419E+04    0.17465E+01    0.50025E+02
   243    0.54286E+04    0.18101E+01    0.51659E+02
   244    0.54146E+04    0.18756E+01    0.53289E+02
   245    0.54001E+04    0.19433E+01    0.54913E+02
   246    0.53850E+04    0.20131E+01    0.56531E+02
   247    0.53694E+04    0.20849E+01    0.58142E+02
   248    0.53533E+04    0.21591E+01    0.59746E+02
   249    0.53367E+04    0.22353E+01    0.61341E+02
   250    0.53194E+04    0.23137E+01    0.62927E+02
   251    0.53018E+04    0.23942E+01    0.64504E+02
   252    0.52835E+04    0.24769E+01    0.66070E+02
   253    0.52648E+04    0.25616E+01    0.67625E+02
   254    0.52456E+04    0.26487E+01    0.69168E+02
   255    0.52259E+04    0.27378E+01    0.70699E+02
   256    0.52057E+04    0.28293E+01    0.72219E+02
   257    0.51851E+04    0.29228E+01    0.73719E+02
   258    0.51640E+04    0.30186E+01    0.75211E+02
   259    0.51424E+04    0.31166E+01    0.76681E+02
   260    0.51204E+04    0.32167E+01    0.78144E+02
   261    0.50979E+04    0.33190E+01    0.79577E+02
   262    0.50749E+04    0.34236E+01    0.81004E+02
   263    0.50518E+04    0.35303E+01    0.82415E+02
   264    0.50280E+04    0.36392E+01    0.83805E+02
   265    0.50038E+04    0.37502E+01    0.85165E+02
   266    0.49792E+04    0.38636E+01    0.86517E+02
   267    0.49541E+04    0.39789E+01    0.87841E+02
   268    0.49287E+04    0.40966E+01    0.89149E+02
   269    0.49027E+04    0.42163E+01    0.90436E+02
   270    0.48765E+04    0.43381E+01    0.91701E+02
   271    0.48499E+04    0.44619E+01    0.92944E+02
